"","x"
"1",7.5010689977175
"2",7.5526288135735
"3",7.60455641621136
"4",7.64203177742813
"5",7.69097981110405
"6",7.7494952462927
"7",7.76736260195208
"8",7.81489699621243
"9",7.91466559304954
"10",7.98957344402112
"11",8.03936425260199
"12",8.09917254319684
"13",8.15766452661521
"14",8.16438717261022
"15",8.22037111275453
"16",8.25670691191068
"17",8.2532593170632
"18",8.31633261005902
"19",8.34389449385032
"20",8.34846014360784
"21",8.39759364875889
"22",8.46534859354566
"23",8.48882696058273
"24",8.5328606627435
"25",8.55754480647181
"26",8.58624390083296
"27",8.61176345474143
"28",8.64073269239186
"29",8.67109895297588
"30",8.71683216020535
"31",8.70997323884766
"32",8.75654029526339
"33",8.77298715847403
"34",8.78241844576696
"35",8.78009127310258
"36",8.79363578825237
"37",8.7778218762934
"38",8.79160453978902
"39",8.7980519852353
"40",8.80670400671052
"41",8.81159650038509
"42",8.82865483033115
"43",8.8322264209826
"44",8.84762842469179
"45",8.86835562015724
"46",8.88898554075475
"47",8.91186168961164
"48",8.92075847201935
"49",8.92633814258436
"50",8.94469364123518
"51",8.99830882379664
"52",9.04847070590668
"53",9.09037591882814
"54",9.11020560431086
"55",9.104868927764
"56",9.12109452247255
"57",9.1169653044211
"58",9.10282873403109
"59",9.10909542068339
"60",9.1369243785911
"61",9.13340123222193
"62",9.13606382810006
"63",9.14457674301173
"64",9.14243927441089
"65",9.14828959344444
"66",9.14776446616715
"67",9.17007852825507
"68",9.17060365553236
"69",9.16741593237694
"70",9.17060365553236
"71",9.17007852825507
"72",9.17379137868777
"73",9.17007852825507
"74",9.14138901985631
"75",9.13340123222193
